Binary Question,QuestionType,Question,choices,right,info
TRUE,1,THE GRIZZLY BEAR:<br><br>Has humped shoulders?,,TRUE,<br>Would you like to learn more about how when and why the American bison became such an important figure in America's history?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/saving-bison-1880s-1910s">Saving the Bison (1880s-1910s)</a>
TRUE,1,THE GRIZZLY BEAR:<br><br>Has long front claws?,,TRUE,<br>Would you like to visit the first American zoos?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/first-visitors-1875-1910s">The First Visitors (1875-1910s)</a>
FALSE,1,THE GRIZZLY BEAR:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Both (omnivorous)?,<br>Would you like to see the zoo through a little girl's eyes?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951">Shirley Visits the Zoo (1951)</a>
TRUE,2,Is this a sign of a Grizzly:<br><br>A broken horn?,,FALSE,<br>Would you like to learn about the remarkable life of a performing chimpanzee who was chimp-napped?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/chimp-napping-mr-moke-1959-1961">The Chimp-napping of Mr. Moke (1959-61)</a>
TRUE,2,Is this a sign of a Grizzly:<br><br>Claw marks on trees?,,TRUE,<br>What was it like for a performing animal?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/chimp-napping-mr-moke-1959-1961">The Chimp-napping of Mr.Moke (1959-61)</a>
TRUE,2,Is this a sign of a Grizzly:<br><br>Chewed branches?,,FALSE,<br>When did zoos start breeding programs for their animals?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/my-animal-babies-1940s-1960s">My Animal Babies</a>
TRUE,2,Is this a sign of a Grizzly:<br><br>A broken honeycomb,,TRUE,<br>What was life like for zoo babies?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/my-animal-babies-1940s-1960s">My Animal Babies</a>
TRUE,2,Is this a sign of a Grizzly:<br><br>Uprooted water lilies,,FALSE,<br>What happens when the zookeepers went on strike?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/keepers-go-strike-1940s-1960s">Keepers go on Strike</a>
TRUE,2,Is this a sign of a Grizzly:<br><br>Old logs ripped open?,,TRUE,<br>Would you like to visit a children's zoo after WWII?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951">Shirley Visits the Zoo (1951)</a>
FALSE,3,Will you capture by:,Using a lasso?/Using a large box trap?,Using a large box trap?,<br>Did animals resist their capture?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/jungle-brawls-1934">Jungle Brawls (1934)</a>
FALSE,4,Stand transport to zoo:,By air?/By ship?/By rail?,By rail?,<br>How did zoos bring large animals from jungles to enclosures?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/rhino-rhino-1948">Rhino Rhino (1948)</a>
