Binary Question,QuestionType,Question,choices,right,info
TRUE,1,THE BENGAL TIGER:<br><br>Is found only in Asia?,,TRUE,<br>Did zoo directors really capture their animals alive or did directors and traders buy them I shops?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/jungle-business-1918-1930">A Jungle Business (1918-30)</a>
TRUE,1,THE BENGAL TIGER:<br><br>Normally hunts at night?,,TRUE,<br>Would you like to follow an animal expedition in 1934?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/girl-who-listened-radio-1934">The Girl who Listened to the Radio (1934)</a>
FALSE,1,THE BENGAL TIGER:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Meat (carnivorous)?,<br>Did zoo directors really capture their own animals?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/story-ali-1920s-1930s">The Story of Ali (1920s-30s)</a>
TRUE,2,Is this a sign of a Tiger:<br><br>Foot prints?,,TRUE,<br>Discover the life of workers in the animal trade.<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/story-ali-1920s-1930s">The Story of Ali (1920s-30s)</a>
TRUE,2,Is this a sign of a Tiger:<br><br>Nibbled leaves?,,FALSE,<br>Would you like to go on the strangest zoo expedition of them all?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/searching-yeti-1960-61">Searching for the Yeti</a>
TRUE,2,Is this a sign of a Tiger:<br><br>Freshly killed game?,,TRUE,<br>How did the animal trader become show business?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/bring%E2%80%99em-back-alive-1932">Bring 'Em Back Alive (1932)</a>
TRUE,2,Is this a sign of a Tiger:<br><br>A straight path to a water hole?,,TRUE,<br>How did animal trade come to excite ordinary Americans?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/girl-who-listened-radio-1934">The Girl who Listened to the Radio (1934)</a>
TRUE,2,Is this a sign of a Tiger:<br><br>Bits of fruit on the trail?,,FALSE,<br>Would you like to learn about the remarkable life of a performing chimpanzee who was chimp-napped?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/chimp-napping-mr-moke-1959-1961">The Chimp-napping of Mr. Moke (1959-61)</a>
TRUE,2,Is this a sign of a Tiger:<br><br>Claw marks on trees?,,TRUE,<br>What was it like for a performing animal?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/chimp-napping-mr-moke-1959-1961">The Chimp-napping of Mr.Moke (1959-61)</a>
FALSE,3,Will you capture by:,Using a camouflaged box trap?/Driving to corral?,Using a camouflaged box trap?,<br>How did the Endangered Species Act change the animal trade?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/zeebongo-1970s">Zeebongo</a>
FALSE,4,Standard transport to zoo:,By air?/By ship?/By rail?,By ship?,<br>How did zoos bring large animals from jungles to enclosures?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/rhino-rhino-1948">Rhino Rhino (1948)</a>
