Binary Question,QuestionType,Question,choices,right,info
TRUE,1,THE MOOSE:<br><br>The largest of all deer?,,TRUE,<br>Would you like to learn more about how when and why the American bison became such an important figure in America's history?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/saving-bison-1880s-1910s">Saving the Bison (1880s-1910s)</a>
TRUE,1,THE MOOSE:<br><br>Is a good swimmer?,,TRUE,<br>Would you like to visit the first American zoos?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/first-visitors-1875-1910s">The First Visitors (1875-1910s)</a>
FALSE,1,THE MOOSE:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Vegetation (herbivorous)?,<br>Would you like to see the zoo through a little girl's eyes?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951">Shirley Visits the Zoo (1951)</a>
TRUE,2,Is this a sign of a Moose:<br><br>A broken horn?,,FALSE,<br>Would you like to learn about the remarkable life of a performing chimpanzee who was chimp-napped?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/chimp-napping-mr-moke-1959-1961">The Chimp-napping of Mr. Moke (1959-61)</a>
TRUE,2,Is this a sign of a Moose:<br><br>Claw marks on trees?,,FALSE,<br>What was it like for a performing animal?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/chimp-napping-mr-moke-1959-1961">The Chimp-napping of Mr.Moke (1959-61)</a>
TRUE,2,Is this a sign of a Moose:<br><br>Chewed leaves?,,TRUE,<br>When did zoos start breeding programs for their animals?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/my-animal-babies-1940s-1960s">My Animal Babies</a>
TRUE,2,Is this a sign of a Moose:<br><br>Is this a sign of a Moose:<br><br>An antler lying on the trail?,,TRUE,<br>What was life like for zoo babies?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/my-animal-babies-1940s-1960s">My Animal Babies</a>
TRUE,2,Is this a sign of a Moose:<br><br>Uprooted water lilies,,TRUE,<br>What happens when the zookeepers went on strike?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/keepers-go-strike-1940s-1960s">Keepers go on Strike</a>
TRUE,2,Is this a sign of a Moose:<br><br>Old logs ripped open?,,FALSE,<br>Would you like to visit a children's zoo after WWII?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951">Shirley Visits the Zoo (1951)</a>
FALSE,3,Will you capture by:,Enticing to a corral?/Digging a pit on the trail?,Enticing to a corral?,<br>How many people did it take to capture large animals?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/how-capture-elephants-ceylon-1920s-30s">How to Capture Elephants in Ceylong (1920s-30s)</a>
FALSE,4,Stand transport to zoo:,By air?/By ship?/By rail?,By rail?,<br>How did zoos bring large animals from jungles to enclosures?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/rhino-rhino-1948">Rhino Rhino (1948)</a>
